# Opcode List for Skysong && ASMule
# made by Gynvael Coldwind & j00ru
# http://gynvael.coldwind.pl/
# http://j00ru.vexillium.org/
#
# Notes:
#   there are opcodes 80, 81, 83.. where is 82???
#   think what to do with the CDW/CDQ and CBW/CWDE case
#   check if LODS has ModR/M
# 
# Mnem        Opcodes   Len  ModR/M    OpReg     Arg1      Arg2      Arg3
# -----------------------------------------------------------------------

  ROL         D0        8    yes       0         r/m8      1         -
  ROL         D2        8    yes       0         r/m8      CL        -
  ROL         C0        8    yes       0         r/m8      imm8      -
  ROL         D1        8    yes       0         r/m32     1         -
  ROL         D3        8    yes       0         r/m32     CL        -
  ROL         C1        8    yes       0         r/m32     imm8      -
  ROR         D0        8    yes       1         r/m8      1         -
  ROR         D2        8    yes       1         r/m8      CL        -
  ROR         C0        8    yes       1         r/m8      imm8      -
  ROR         D1        8    yes       1         r/m32     1         -
  ROR         D3        8    yes       1         r/m32     CL        -
  ROR         C1        8    yes       1         r/m32     imm8      -
  RDMSR       0F32     16    -         -         -         -         -
  RDPMC       0F33     16    -         -         -         -         -
  RTDSC       0F31     16    -         -         -         -         -
  RET         C3        8    -         -         -         -         -
  RET         CB        8    -         -         -         -         -
  RET         C2        8    -         -         imm16     -         -
  RET         CA        8    -         -         imm16     -         -
  RSM         0FAA     16    -         -         -         -         -
  SAHF        9E        8    -         -         -         -         -
  SAL         D0        8    yes       4         r/m8      1         -
  SAL         D2        8    yes       4         r/m8      CL        -
  SAL         C0        8    yes       4         r/m8      imm8      -
